,0
2021-11-01,0.6749999999999998
2021-11-02,0.6749999999999998
2021-11-03,0.6749999999999998
2021-11-04,0.6749999999999998
2021-11-05,0.6749999999999998
2021-11-06,0.6749999999999998
2021-11-07,0.6749999999999998
2021-11-08,0.6749999999999998
2021-11-09,0.6749999999999998
2021-11-10,0.6749999999999998
2021-11-11,0.6249999999999998
2021-11-12,0.6249999999999998
2021-11-13,0.6249999999999998
2021-11-14,0.7403846153846152
2021-11-15,0.7363076923076923
2021-11-16,0.7363076923076923
2021-11-17,0.7363076923076923
2021-11-18,0.7363076923076923
2021-11-19,0.7363076923076923
2021-11-20,0.7363076923076923
2021-11-21,0.7363076923076923
2021-11-22,0.7363076923076923
2021-11-23,0.7363076923076923
2021-11-24,0.7363076923076923
2021-11-25,0.7363076923076923
2021-11-26,0.7363076923076923
2021-11-27,0.7964216524216523
2021-11-28,0.7964216524216523
2021-11-29,0.802573599240266
2021-11-30,0.802573599240266
2021-12-01,0.802573599240266
2021-12-02,0.802573599240266
2021-12-03,0.802573599240266
2021-12-04,0.802573599240266
2021-12-05,0.9414624881291549
2021-12-06,0.9414624881291549
2021-12-07,0.9414624881291549
2021-12-08,0.9414624881291549
2021-12-09,0.9414624881291549
2021-12-10,0.8409496676163345
2021-12-11,0.9520607787274459
2021-12-12,0.9520607787274459
2021-12-13,0.9520607787274459
2021-12-14,0.9520607787274459
2021-12-15,0.9520607787274459
2021-12-16,0.9520607787274459
2021-12-17,0.6742830009496679
2021-12-18,0.6742830009496679
2021-12-19,0.6742830009496679
2021-12-20,0.6742830009496679
2021-12-21,0.6742830009496679
2021-12-22,0.6742830009496679
2021-12-23,0.6684832451499116
2021-12-24,0.6808289241622573
2021-12-25,0.650525893859227
2021-12-26,0.650525893859227
2021-12-27,0.650525893859227
2021-12-28,0.650525893859227
2021-12-29,0.650525893859227
2021-12-30,0.650525893859227
2021-12-31,0.650525893859227
2022-01-01,0.8821277847985922
2022-01-02,0.8821277847985922
2022-01-03,0.883468954555911
2022-01-04,0.843468954555911
2022-01-05,1.3055901666771235
2022-01-06,1.2458374194243764
2022-01-07,1.2458374194243764
2022-01-08,1.2458374194243764
2022-01-09,1.2458374194243764
2022-01-10,4.468892157761723
2022-01-11,2.246669935539501
2022-01-12,1.2466699355395012
2022-01-13,1.2466699355395012
2022-01-14,1.1633366022061677
2022-01-15,1.1633366022061677
2022-01-16,3.3673770062465715
2022-01-17,3.800581547844975
2022-01-18,1.7803795276429546
2022-01-19,0.9948317420951692
2022-01-20,0.9948317420951692
2022-01-21,0.9783028164753346
2022-01-22,1.0540603922329104
2022-01-23,2.569211907384425
2022-01-24,2.861847383837153
2022-01-25,1.3279785746338744
2022-01-26,1.3279785746338744
2022-01-27,1.0502007968560967
2022-01-28,1.0502007968560967
2022-01-29,1.3057563524116522
2022-01-30,1.3057563524116522
2022-01-31,1.2581373047926043
2022-02-01,0.6212168178721176
2022-02-02,0.6212168178721176
2022-02-03,0.6496339818391536
2022-02-04,0.6496339818391536
2022-02-05,0.6496339818391536
2022-02-06,0.6496339818391536
2022-02-07,0.5850048962357145
2022-02-08,0.5850048962357145
2022-02-09,0.5850048962357145
2022-02-10,0.5850048962357145
2022-02-11,0.5850048962357145
2022-02-12,0.5850048962357145
2022-02-13,0.5850048962357145
2022-02-14,0.5543272405580589
2022-02-15,0.5543272405580589
2022-02-16,0.5555736793044976
2022-02-17,0.5555736793044976
2022-02-18,0.5555736793044976
2022-02-19,0.5555736793044976
2022-02-20,0.5747019827998089
2022-02-21,0.5747019827998089
2022-02-22,0.5747019827998089
2022-02-23,0.557778905876732
2022-02-24,0.557778905876732
2022-02-25,0.557778905876732
2022-02-26,0.4765289058767322
2022-02-27,0.643195572543399
2022-02-28,0.6789582053557213
2022-03-01,0.6789582053557213
2022-03-02,0.6789582053557213
2022-03-03,0.6789582053557213
2022-03-04,0.6789582053557213
2022-03-05,0.6313391577366735
2022-03-06,0.6313391577366735
2022-03-07,0.6313391577366735
2022-03-08,0.6222050693186977
2022-03-09,0.6222050693186977
2022-03-10,0.6222050693186977
2022-03-11,0.6222050693186977
2022-03-12,0.6698241169377452
2022-03-13,0.6832387510840868
2022-03-14,0.6976872655326013
2022-03-15,0.6976872655326013
2022-03-16,0.6976872655326013
2022-03-17,0.6976872655326013
2022-03-18,0.6704763811788597
2022-03-19,0.6704763811788597
2022-03-20,0.6704763811788597
2022-03-21,0.6498170405195189
2022-03-22,0.6498170405195189
2022-03-23,0.6498170405195189
2022-03-24,0.6498170405195189
2022-03-25,0.6132806868476154
2022-03-26,0.6132806868476154
2022-03-27,0.6132806868476154
2022-03-28,0.6081786460312888
2022-03-29,0.6081786460312888
2022-03-30,0.6081786460312888
2022-03-31,0.6081786460312888
2022-04-01,0.35239889656031304
2022-04-02,0.35239889656031304
2022-04-03,0.35239889656031304
2022-04-04,0.35239889656031304
2022-04-05,0.35239889656031304
2022-04-06,0.35239889656031304
2022-04-07,0.34792735184486584
2022-04-08,0.34792735184486584
2022-04-09,0.34792735184486584
2022-04-10,0.4220014259189399
2022-04-11,0.384703898212205
2022-04-12,0.384703898212205
2022-04-13,0.384703898212205
2022-04-14,0.384703898212205
2022-04-15,0.37137056487887166
2022-04-16,0.37137056487887166
2022-04-17,0.37137056487887166
2022-04-18,0.37137056487887166
2022-04-19,0.37137056487887166
2022-04-20,0.37137056487887166
2022-04-21,0.37137056487887166
2022-04-22,0.37137056487887166
2022-04-23,0.3807201583748066
2022-04-24,0.3807201583748066
2022-04-25,0.34500587266052096
